t,close,alpha,P60
1526947200,696.98,0.0,0.14347408140658047
1526947260,696.99,-0.01191406622358393,-0.0
1526947320,696.99,0.0119140804177853,-0.0
1526947380,696.99,4.741798356810989,-0.0
1526947440,696.99,3.072372228611897,-0.1434761399177198
1526947500,696.98,0.0,0.14347408140658047
1526947560,696.99,0.0,-0.1434761399177198
1526947620,696.98,-8.845238095238628,8.457932537236923
1526947680,697.57,-0.011915301272313883,-0.1433568438580224
1526947740,697.56,-3.45544148626864,-0.1433588990029655
1526947800,697.55,-0.786682654601023,1.863318426785776
1526947860,697.68,0.7867445464304623,2.4360535931799987
1526947920,697.85,0.0,1.5760215485127738
1526947980,697.96,5.280309333155486,-0.14327673902192473
1526948040,697.95,0.01191314365156515,0.7163323782233277
1526948100,698.0,6.302045484327667,-0.1432685282032331
1526948160,697.99,0.011905626480235298,0.14326647564510964
1526948220,698.0,0.0,1.5756829153001917
1526948280,698.11,-3.690739814748989,-0.0
1526948340,698.11,-5.359503590867121,6.155696166288971
1526948400,698.54,5.350461164472797,1.574465039719808
1526948460,698.65,0.0,5.007153075823334
1526948520,699.0,0.0,-10.45440875306225
1526948580,698.27,4.299518001400493,3.865204569530878
1526948640,698.54,-4.285765306730749,-7.306276234546605
1526948700,698.03,-0.011910007977622428,-2.866027542522964
1526948760,697.83,-11.505081410958518,-0.0
1526948820,697.83,2.2535869592443802,2.4355300859590923
1526948880,698.0,5.769790141765263,6.442837712077321
1526948940,698.45,0.0,-4.440370126337356
1526949000,698.14,0.0,-3.438888092850423
1526949060,697.9,-8.018242992081648,-1.1464274454731083
1526949120,697.82,0.0,3.7245014898001916
1526949180,698.08,0.0,-0.0
1526949240,698.08,0.0,0.14324800527099057
1526949300,698.09,-0.011923740522723492,-0.0
1526949360,698.09,0.0,-2.292493516542482
1526949420,697.93,0.011923754741349768,0.5730905339784709
1526949480,697.97,0.0,-2.4362281456014045
1526949540,697.8,-0.011923740522723492,0.14330548430030454
1526949600,697.81,0.011923754741349768,-0.0
1526949660,697.81,-0.1550086268253814,-0.28661918342276493
1526949720,697.79,-7.750551481547907,1.7194194093794746
1526949780,697.91,3.973747016705609,0.5731069560865887
1526949840,697.95,-0.011928434167085555,0.7163323782233277
1526949900,698.0,0.8111344908701135,0.143264423145828
1526949960,698.01,-0.011927480916273936,-3.1528110176415325
1526950020,697.79,0.011927495142671773,2.7221410355604547
1526950080,697.98,-4.592080152672207,-11.474798473851688
1526950140,697.18,-2.0405362672493155,-3.156565656563526
1526950200,696.96,-7.6505888924427445,-3.7318788574713935
1526950260,696.7,-0.011944534360486259,-1.8662876667097095
1526950320,696.57,-22.945477913336454,-29.805615550757558
1526950380,694.5,-14.318534720649811,9.925344150520932
1526950440,695.19,14.375033719584707,-9.935205183586593
1526950500,694.5,-0.011971975998337214,3.3106386653813935
1526950560,694.73,0.011971990332426685,5.7543193359510525
1526950620,695.13,0.0,-8.927157276352737
1526950680,694.51,0.0,5.612318319182519
1526950740,694.9,12.64240665450167,-5.615469899640235
1526950800,694.51,-7.281727527082005,-7.348703170029225
1526950860,694.0,-20.70044069203969,-57.971014492752545
1526950920,690.0,-2.4100690526751567,-0.0
1526950980,690.0,0.01199328376166875,-0.0
1526951040,690.0,0.0,-0.0
1526951100,690.0,0.0,-0.0
1526951160,690.0,-0.011993269377619242,-0.0
1526951220,690.0,0.01199328376166875,-3.0444048188593698
1526951280,689.79,0.0,-13.500566152773175
1526951340,688.86,-0.011993269377619242,-5.228758169935066
1526951400,688.5,-28.77188774286332,-7.121989505967097
1526951460,688.01,-7.216734163177918,-18.784948741845664
1526951520,686.72,0.0,-13.414989792943643
1526951580,685.8,2.551754270876394,-34.384373399662934
1526951640,683.45,-0.01203350609269016,65.41173050367055
1526951700,687.95,9.097341554633598,-24.041964155618878
1526951760,686.3,2.055861730674291,-18.100604326627412
1526951820,685.06,0.0,18.067900335130282
1526951880,686.3,1.7549363595170675,-0.14571099680837918
1526951940,686.29,-1.0455662582553593,10.189376846825304
1526952000,686.99,4.903857941966905,14.68023255813966
1526952060,688.0,14.512149119541018,-9.747864926599181
1526952120,687.33,-16.602408308882268,-0.0
1526952180,687.33,0.0,-10.340508578252638
1526952240,686.62,-6.344399985579452,-0.0
1526952300,686.62,7.899463990708178,0.14563884479290579
1526952360,686.63,-9.467068896955588,-0.0
1526952420,686.63,-2.3810354136921674,-0.1456409658917579
1526952480,686.62,-14.097162164274923,-12.832852101378744
1526952540,685.74,0.012045275783467702,-0.0
1526952600,685.74,-0.012045261273962993,-2.1878965562494024
1526952660,685.59,-2.409055156522566,-37.627009457996685
1526952720,683.02,-25.31322251419055,-7.179171611504387
1526952780,682.53,-9.650924024640073,15.506370777805811
1526952840,683.59,10.446124475729235,5.555799230960723
1526952900,683.97,4.843199893715955,-5.412521942655957
1526952960,683.6,-10.442244128802125,-43.34092411665491
1526953020,680.65,-14.513577627096597,31.48799062683061
1526953080,682.8,18.83093307515349,2.9282576866773713
1526953140,683.0,0.01207939545055936,-4.247777240702355
1526953200,682.71,-0.6885247089771784,19.005570094003943
1526953260,684.01,0.0,9.639680429988084
1526953320,684.67,16.586131915921065,-0.29212006134482493
1526953380,684.65,-2.0622958055782625,-4.237535799871406
1526953440,684.36,-0.012062697074544104,-1.607599561563866
1526953500,684.25,-1.531964376400019,-2.0464545175480353
1526953560,684.11,-11.726752196352663,-1.4619669303073124
1526953620,684.01,7.573360131996054,37.722108942616075
1526953680,686.6,-5.829608861007696,18.462790934333782
1526953740,687.87,10.313436693132338,-7.419692737429262
1526953800,687.36,0.0,-2.182738900773362
1526953860,687.21,-0.012064181446058697,0.14551380925986734
1526953920,687.22,0.0,-0.0
1526953980,687.22,-1.1822912079750836,-0.0
1526954040,687.22,-0.0120656225077731,-0.14551592671718794
1526954100,687.21,0.012065637065017398,0.14551380925986734
1526954160,687.22,0.0,-0.0
1526954220,687.22,0.0,-0.14551592671718794
1526954280,687.21,-6.165533101433196,0.14551380925986734
1526954340,687.22,2.3783940407362536,-0.0
1526954400,687.22,-5.878185173696648,-19.975213239047385
1526954460,685.85,-6.026570048308644,-4.376048428269552
1526954520,685.55,-4.785492706353978,6.9967785665348
1526954580,686.03,0.0,0.14576409538835655
1526954640,686.04,14.762333681939133,-0.0
1526954700,686.04,-4.189171896088473,-0.43731140945357794
1526954760,686.01,0.0,14.410480349345
1526954820,687.0,3.780289113610724,-2.912055911474809
1526954880,686.8,0.0,-2.0388547461624995
1526954940,686.66,-0.09658429635961419,-0.0
1526955000,686.66,-2.897556876626517,-9.4750805381838
1526955060,686.01,0.012076652931014564,-0.14577259475290205
1526955120,686.0,3.0795427784702234,7.283321194464509
1526955180,686.5,0.30182301098635733,6.987102972429993
1526955240,686.98,0.0,0.2911208151379352
1526955300,687.0,0.012072556061504258,-0.0
1526955360,687.0,8.631867163411133,13.373648098615742
1526955420,687.92,9.60145517531874,1.16279069767522
1526955480,688.0,1.0604492207488825,3.196652233298236
1526955540,688.22,-6.615055577311457,11.175779038882228
1526955600,688.99,-0.012057257504638486,-1.3064305414434152
1526955660,688.9,0.012057272043008993,-11.480722558891987
1526955720,688.11,-0.012057257504638486,-0.0
1526955780,688.11,0.0,9.147138252461051
1526955840,688.74,0.0,-0.0
1526955900,688.74,0.012057272043008993,-3.6311348022488588
1526955960,688.49,-0.012057257504638486,-5.667780845806103
1526956020,688.1,0.012057272043008993,0.1453256020111926
1526956080,688.11,6.028628752219323,13.931821150247048
1526956140,689.07,0.0,-10.168949838023078
1526956200,688.37,1.4821491403527176,-0.0
1526956260,688.37,0.012048207287396195,-0.14527282236054262
1526956320,688.36,-0.012048192771230148,16.5337200870197
1526956380,689.5,0.012048207287396195,-0.14503473581894966
1526956440,689.49,0.0,0.1450326323426676
1526956500,689.5,5.301204819276872,-0.0
1526956560,689.5,1.5413515726603322,-0.14503473581894966
1526956620,689.49,4.177863823311423,4.059324122532848
1526956680,689.77,0.0,3.188452006551712
1526956740,689.99,-0.012034925354065251,-1.1595715383161398
1526956800,689.91,0.01203493983803483,0.14494434137257706
1526956860,689.92,0.4693620887841199,-0.0
1526956920,689.92,0.5415462227742474,-0.0
1526956980,689.92,6.859214030343619,-0.1449464422886848
1526957040,689.91,0.012025460305320479,0.14494434137257706
1526957100,689.92,0.0,-0.0
1526957160,689.92,0.0,-6.67188814434283
1526957220,689.46,-4.401313178685751,-22.67771478412728
1526957280,687.9,-14.472981361977055,7.408375822547386
1526957340,688.41,0.39758988242155624,0.1452601609486237
1526957400,688.42,0.024095398503121146,-0.0
1526957460,688.42,0.0,-4.068939459993537
1526957520,688.14,-1.7951028630081023,22.763190326370307
1526957580,689.71,-0.7109401641425261,-14.665311456367736
1526957640,688.7,0.9520045117761278,5.369556068324233
1526957700,689.07,4.024547328798089,-0.0
1526957760,689.07,2.1439557911495655,-13.36917823149042
1526957820,688.15,-12.246829612521104,8.421297170154718
1526957880,688.73,7.197957082329953,-14.103757124579452
1526957940,687.76,-7.1927797503357205,-10.188338718599699
1526958000,687.06,-0.024113759070631957,-0.0
1526958060,687.06,0.012056908609281436,-0.0
1526958120,687.06,0.0,-0.0
1526958180,687.06,3.122735564582424,3.782808589887221
1526958240,687.32,-1.181206759395259,6.542884976080687
1526958300,687.77,-4.363748580576976,0.8723085646167306
1526958360,687.83,1.205981669079037,-9.021987456527825
1526958420,687.21,-0.012058362474087758,5.526549251734236
1526958480,687.59,-1.193779324465405,5.959302325581062
1526958540,688.0,13.410516160154984,-6.399441503288639
1526958600,687.56,-11.802792203413626,-0.727262148914054
1526958660,687.51,5.269301076047395,-0.0
1526958720,687.51,-6.845278625737805,-0.14545454545489278
1526958780,687.5,0.0,0.1454524297828108
1526958840,687.51,1.833089926326359,-0.0
1526958900,687.51,3.376125726921586,11.477553392416073
1526958960,688.3,-3.3749862891174764,-77.45128182603534
1526959020,683.01,3.882544585960268,28.032061670535402
1526959080,684.93,4.664477054270311,2.043586786752982
1526959140,685.07,6.445301676258897,8.60484788378968
1526959200,685.66,1.9383648147064392,-0.0
1526959260,685.66,0.01203719976139439,-0.0
1526959320,685.66,2.7685526127307902,15.14489587884249
1526959380,686.7,-0.012033853636905789,27.15773269239108
1526959440,688.57,0.012033868119765145,-8.284883720930392
1526959500,688.0,0.0,-29.1545189504383
1526959560,686.0,0.0,-0.29155368961086836
1526959620,685.98,0.0,-0.0
1526959680,685.98,0.13237239000929435,-0.1457789699266243
1526959740,685.97,0.0,11.794169894288054
1526959800,686.78,-0.4693140794220785,3.202328966521728
1526959860,687.0,0.46933610602595266,7.563416336978657
1526959920,687.52,4.801444043320835,3.489589391648673
1526959980,687.76,0.012027919207291404,3.4883720930234396
1526960040,688.0,-0.012027904738864947,-0.0
1526960100,688.0,-3.0911752359574773,-0.0
1526960160,688.0,3.104162706253355,-0.0
1526960220,688.0,-3.596343516959477,-0.0
1526960280,688.0,-0.012032231943015503,-0.0
1526960340,688.0,0.012032246421433967,-31.640493999969266
1526960400,685.83,0.0,-6.711703167632255
1526960460,685.37,-1.215255426235684,16.896566792419243
1526960520,686.53,0.012033694345436885,3.4946197416896307
1526960580,686.77,-0.012033679863687752,-0.14561127613665903
1526960640,686.76,0.0,1.8925883329212745
1526960700,686.89,0.0,-0.0
1526960760,686.89,0.0,-15.1636655245313
1526960820,685.85,0.012033694345436885,-5.981559290382243
1526960880,685.44,-12.021646183337786,14.858841010401136
1526960940,686.46,11.939730265710935,-0.0
1526961000,686.46,0.0,-0.0
1526961060,686.46,-0.012033795712129702,8.2965809353297
1526961120,687.03,0.012033810192768613,6.109535238927322
1526961180,687.45,0.07220277427055777,6.832189789509613
1526961240,687.92,6.642607271489798,-12.371374095796472
1526961300,687.07,4.124822169657705,7.417318712004128
1526961360,687.58,3.618249440433541,-5.384089288573701
1526961420,687.21,0.012016414421278654,6.834574220566658
1526961480,687.68,-0.012016399980607773,-4.364398149494519
1526961540,687.38,-0.1321805586440572,-0.0
1526961600,687.38,8.603866452612241,-0.0
1526961660,687.38,-0.012006243246265313,0.1454778219056596
1526961720,687.39,-10.85365692598872,-0.1454799383160399
1526961780,687.38,-0.012019303000654347,-8.736422143917899
1526961840,686.78,0.012019317447986566,-4.515856483167102
1526961900,686.47,0.0,-30.831725992168657
1526961960,684.36,-9.63948100649703,-0.14612405932590278
1526962020,684.35,-0.012030900163884084,-4.239394205187708
1526962080,684.06,0.012030914637861656,-0.0
1526962140,684.06,-2.3339946318134963,-3.509695533912005
1526962200,683.82,0.012033708824965572,30.470469886718643
1526962260,685.91,-0.012033694344326662,11.358837321062687
1526962320,686.69,2.7196181944866282,-0.0
1526962380,686.69,0.0,-0.1456282402290121
1526962440,686.68,-0.757917531353236,-17.067584717946893
1526962500,685.51,-7.158652585176339,-0.0
1526962560,685.51,2.3116738324535646,7.142857142857784
1526962620,686.0,-6.451931306191705,-7.147962830593713
1526962680,685.51,0.0,6.99718654790904
1526962740,685.99,2.3487665362198484,0.14577259475179183
1526962800,686.0,-1.7701928426416824,-0.0
1526962860,686.0,-0.12044260247368044,-0.0
1526962920,686.0,-0.012044405314215467,-0.14577471974863698
1526962980,685.99,0.0,-14.160170505970182
1526963040,685.02,-5.66087731554088,-0.0
1526963100,685.02,-4.736138059027173,2.918770613817845
1526963160,685.22,0.0,-2.91962278473612
1526963220,685.02,-2.495789109436819,-0.1459832703165631
1526963280,685.01,0.012059962131161228,0.145981139236806
1526963340,685.02,-0.012059947587239606,-0.1459832703165631
1526963400,685.01,-6.440019778337636,7.293839623054854
1526963460,685.51,-3.5237782626329484,6.414461695459783
1526963520,685.95,0.012071987676165463,0.8746228189082661
1526963580,686.01,5.2513083000849115,-0.14577259475290205
1526963640,686.0,0.0,-3.499766682222294
1526963700,685.76,-0.012065637066127621,-3.646919811526317
1526963760,685.51,0.0,-4.524226503210826
1526963820,685.2,0.012065651624482143,-0.0
1526963880,685.2,-0.012065637066127621,-0.0
1526963940,685.2,0.012065651624482143,-0.0
1526964000,685.2,-9.64044401544406,-0.0
1526964060,685.2,0.0,-0.0
1526964120,685.2,-0.012077280100442067,-0.0
1526964180,685.2,0.0,11.22498068428568
1526964240,685.97,0.2777777777773771,-2.62471018825039
1526964300,685.79,-0.012076959214901706,8.741386092454562
1526964360,686.39,0.9420039564167482,8.87918486171757
1526964420,687.0,0.0,3.346768912881881
1526964480,687.23,5.917159763313418,-0.0
1526964540,687.23,0.0,2.1821990747472597
1526964600,687.38,4.030944134010284,0.1454778219056596
1526964660,687.39,0.0,-0.0
1526964720,687.39,0.0,-5.822501055328111
1526964780,686.99,0.0,0.1455604075695227
1526964840,687.0,-0.012063832148800913,-0.0
1526964900,687.0,0.0,-0.0
1526964960,687.0,-1.483853144380598,-0.14556252638353584
1526965020,686.99,0.012065637065017398,0.1455604075695227
1526965080,687.0,0.0,-0.14556252638353584
1526965140,686.99,0.0,0.1455604075695227
1526965200,687.0,0.0,-0.0
1526965260,687.0,0.0,-0.0
1526965320,687.0,0.0,-0.14556252638353584
1526965380,686.99,-9.652498006156307,-0.0
1526965440,686.99,-0.012077280100442067,-0.0
1526965500,686.99,0.0,0.1455604075695227
1526965560,687.0,0.012077294686552165,-0.14556252638353584
1526965620,686.99,0.0,-0.0
1526965680,686.99,-0.012077280100442067,0.1455604075695227
