t,close,alpha,P60
1539388800,193.46,-16.160284162436422,14.452358831423817
1539388860,193.74,11.977967015268653,9.797349559119706
1539388920,193.93,-0.6628501586791735,-6.70794633642835
1539388980,193.8,-3.233629749394007,0.5159692482326061
1539389040,193.81,-0.016173378619699363,11.338452816574973
1539389100,194.03,3.849270336844235,0.5153576582139774
1539389160,194.04,0.01616718159125341,-0.5153842189353774
1539389220,194.03,2.9100879816601477,9.268317800319448
1539389280,194.21,7.273103417064775,38.980355952197286
1539389340,194.97,7.849242854927052,17.40822282525256
1539389400,195.31,5.583761260317122,9.718670076726
1539389460,195.5,0.0,57.46834155520464
1539389520,196.63,3.2096774193535182,6.099110546379238
1539389580,196.75,9.690438069072105,-14.251539675269598
1539389640,196.47,-0.01610824742259709,24.878147847279266
1539389700,196.96,0.01610827337072962,-8.130081300812275
1539389760,196.8,2.6739690721644394,-13.228859265290716
1539389820,196.54,0.0,-23.459812321500184
1539389880,196.08,-2.673254252245627,0.5099699117749878
1539389940,196.09,0.0,-17.369093231163202
1539390000,195.75,-10.422036082474717,1.0216069877921896
1539390060,195.77,0.016125053010629387,19.37292888095854
1539390120,196.15,0.0,12.220581496001914
1539390180,196.39,0.0,0.5091649694510814
1539390240,196.4,-1.2255020527163207,-0.0
1539390300,196.4,0.0,-0.0
1539390360,196.4,1.209525253274002,-0.0
1539390420,196.4,0.016125053010629387,-0.5091908956678104
1539390480,196.39,0.0,-0.0
1539390540,196.39,-0.016125027010316373,-5.094503031228825
1539390600,196.29,0.016125053010629387,-6.627243066883448
1539390660,196.16,0.0,-0.0
1539390720,196.16,0.0,6.622853940597695
1539390780,196.29,7.756137991532519,5.091908956668112
1539390840,196.39,0.0,-0.5092168245224293
1539390900,196.38,0.0,-0.0
1539390960,196.38,-0.01611252990918466,-0.0
1539391020,196.38,0.016112555869529643,1.5274171376200574
1539391080,196.41,0.0,7.122869498855655
1539391140,196.55,-0.01611252990918466,-7.127946642229155
1539391200,196.41,0.016112555869529643,8.647878726218972
1539391260,196.58,0.0,8.640406607368645
1539391320,196.75,-11.826596953120605,-18.330872244005647
1539391380,196.39,-5.855773744517512,-2.0371785077655247
1539391440,196.35,2.905390791203555,-2.5471217524186684
1539391500,196.3,0.0,-0.0
1539391560,196.3,-2.9206832785244607,-10.198878123406363
1539391620,196.1,0.01614108600556108,0.5099179032186374
1539391680,196.11,0.0,-8.676125344493357
1539391740,195.94,0.0,2.551150568906868
1539391800,195.99,-0.01614105995195736,0.5102040816318265
1539391860,196.0,0.01614108600556108,-1.5308465581465036
1539391920,195.97,-1.420413275698973,2.5507601265184476
1539391980,196.02,0.0,5.098919029165039
1539392040,196.12,0.0,3.0584157406465806
1539392100,196.18,0.0,-0.5097619411742471
1539392160,196.17,0.0,-1.0196278358387545
1539392220,196.15,0.0,1.0195238823462738
1539392280,196.17,0.0,-8.162848834243341
1539392340,196.01,0.0,-0.0
1539392400,196.01,0.0,-0.0
1539392460,196.01,0.0,-0.0
1539392520,196.01,0.0,-0.0
